,country,month,value,year,date
69,ベルギー,2,740.0,2003,2003-02-01 00:00:00
70,フィンランド,2,745.0,2003,2003-02-01 00:00:00
71,ポーランド,2,282.0,2003,2003-02-01 00:00:00
72,デンマーク,2,667.0,2003,2003-02-01 00:00:00
73,ノルウェー,2,511.0,2003,2003-02-01 00:00:00
74,オーストリア,2,591.0,2003,2003-02-01 00:00:00
75,ポルトガル,2,617.0,2003,2003-02-01 00:00:00
76,アイルランド,2,746.0,2003,2003-02-01 00:00:00
86,ニュージーランド,2,1838.0,2003,2003-02-01 00:00:00
78,北アメリカ計,2,52822.0,2003,2003-02-01 00:00:00
79,米国,2,42567.0,2003,2003-02-01 00:00:00
80,カナダ,2,9300.0,2003,2003-02-01 00:00:00
81,メキシコ,2,562.0,2003,2003-02-01 00:00:00
82,南アメリカ計,2,1706.0,2003,2003-02-01 00:00:00
83,ブラジル,2,731.0,2003,2003-02-01 00:00:00
84,オセアニア計,2,13006.0,2003,2003-02-01 00:00:00
85,豪州,2,10967.0,2003,2003-02-01 00:00:00
68,スイス,2,1181.0,2003,2003-02-01 00:00:00
77,アフリカ計,2,1240.0,2003,2003-02-01 00:00:00
67,オランダ,2,1552.0,2003,2003-02-01 00:00:00
56,インド,2,2994.0,2003,2003-02-01 00:00:00
65,スペイン,2,894.0,2003,2003-02-01 00:00:00
44,総数,2,394869.0,2003,2003-02-01 00:00:00
46,韓国,2,112988.0,2003,2003-02-01 00:00:00
47,中国,2,41864.0,2003,2003-02-01 00:00:00
48,台湾,2,66734.0,2003,2003-02-01 00:00:00
49,香港,2,25924.0,2003,2003-02-01 00:00:00
50,タイ,2,4252.0,2003,2003-02-01 00:00:00
51,シンガポール,2,4522.0,2003,2003-02-01 00:00:00
52,マレーシア,2,4525.0,2003,2003-02-01 00:00:00
53,インドネシア,2,3026.0,2003,2003-02-01 00:00:00
54,フィリピン,2,8728.0,2003,2003-02-01 00:00:00
55,ベトナム,2,1130.0,2003,2003-02-01 00:00:00
57,イスラエル,2,623.0,2003,2003-02-01 00:00:00
58,トルコ,2,568.0,2003,2003-02-01 00:00:00
59,ヨーロッパ計,2,44736.0,2003,2003-02-01 00:00:00
60,英国,2,14308.0,2003,2003-02-01 00:00:00
61,フランス,2,6748.0,2003,2003-02-01 00:00:00
62,ドイツ,2,6655.0,2003,2003-02-01 00:00:00
63,イタリア,2,2227.0,2003,2003-02-01 00:00:00
64,ロシア,2,2780.0,2003,2003-02-01 00:00:00
66,スウェーデン,2,1217.0,2003,2003-02-01 00:00:00
45,アジア計,2,281263.0,2003,2003-02-01 00:00:00
87,無国籍・その他,2,96.0,2003,2003-02-01 00:00:00
119,ポルトガル,3,522.0,2003,2003-03-01 00:00:00
111,オランダ,3,2562.0,2003,2003-03-01 00:00:00
112,スイス,3,1836.0,2003,2003-03-01 00:00:00
114,フィンランド,3,941.0,2003,2003-03-01 00:00:00
115,ポーランド,3,344.0,2003,2003-03-01 00:00:00
116,デンマーク,3,1113.0,2003,2003-03-01 00:00:00
117,ノルウェー,3,785.0,2003,2003-03-01 00:00:00
118,オーストリア,3,1072.0,2003,2003-03-01 00:00:00
120,アイルランド,3,984.0,2003,2003-03-01 00:00:00
121,アフリカ計,3,2254.0,2003,2003-03-01 00:00:00
122,北アメリカ計,3,78460.0,2003,2003-03-01 00:00:00
123,米国,3,63847.0,2003,2003-03-01 00:00:00
124,カナダ,3,12650.0,2003,2003-03-01 00:00:00
125,メキシコ,3,1138.0,2003,2003-03-01 00:00:00
126,南アメリカ計,3,2584.0,2003,2003-03-01 00:00:00
127,ブラジル,3,1152.0,2003,2003-03-01 00:00:00
128,オセアニア計,3,16196.0,2003,2003-03-01 00:00:00
129,豪州,3,13170.0,2003,2003-03-01 00:00:00
130,ニュージーランド,3,2745.0,2003,2003-03-01 00:00:00
131,無国籍・その他,3,150.0,2003,2003-03-01 00:00:00
110,スウェーデン,3,1976.0,2003,2003-03-01 00:00:00
109,スペイン,3,1368.0,2003,2003-03-01 00:00:00
113,ベルギー,3,1006.0,2003,2003-03-01 00:00:00
107,イタリア,3,3538.0,2003,2003-03-01 00:00:00
88,総数,3,456614.0,2003,2003-03-01 00:00:00
89,アジア計,3,291767.0,2003,2003-03-01 00:00:00
90,韓国,3,108871.0,2003,2003-03-01 00:00:00
91,中国,3,49676.0,2003,2003-03-01 00:00:00
92,台湾,3,64225.0,2003,2003-03-01 00:00:00
93,香港,3,18437.0,2003,2003-03-01 00:00:00
108,ロシア,3,3323.0,2003,2003-03-01 00:00:00
95,シンガポール,3,6682.0,2003,2003-03-01 00:00:00
96,マレーシア,3,6417.0,2003,2003-03-01 00:00:00
97,インドネシア,3,3862.0,2003,2003-03-01 00:00:00
94,タイ,3,8970.0,2003,2003-03-01 00:00:00
99,ベトナム,3,1657.0,2003,2003-03-01 00:00:00
98,フィリピン,3,12081.0,2003,2003-03-01 00:00:00
105,フランス,3,8747.0,2003,2003-03-01 00:00:00
104,英国,3,20696.0,2003,2003-03-01 00:00:00
103,ヨーロッパ計,3,65203.0,2003,2003-03-01 00:00:00
106,ドイツ,3,10711.0,2003,2003-03-01 00:00:00
101,イスラエル,3,845.0,2003,2003-03-01 00:00:00
100,インド,3,4291.0,2003,2003-03-01 00:00:00
102,トルコ,3,735.0,2003,2003-03-01 00:00:00
164,アイルランド,4,810.0,2003,2003-04-01 00:00:00
155,オランダ,4,1863.0,2003,2003-04-01 00:00:00
156,スイス,4,1616.0,2003,2003-04-01 00:00:00
157,ベルギー,4,871.0,2003,2003-04-01 00:00:00
158,フィンランド,4,760.0,2003,2003-04-01 00:00:00
159,ポーランド,4,337.0,2003,2003-04-01 00:00:00
160,デンマーク,4,906.0,2003,2003-04-01 00:00:00
161,ノルウェー,4,548.0,2003,2003-04-01 00:00:00
162,オーストリア,4,977.0,2003,2003-04-01 00:00:00
165,アフリカ計,4,1154.0,2003,2003-04-01 00:00:00
174,ニュージーランド,4,2800.0,2003,2003-04-01 00:00:00
167,米国,4,45911.0,2003,2003-04-01 00:00:00
168,カナダ,4,8253.0,2003,2003-04-01 00:00:00
169,メキシコ,4,710.0,2003,2003-04-01 00:00:00
170,南アメリカ計,4,1625.0,2003,2003-04-01 00:00:00
171,ブラジル,4,733.0,2003,2003-04-01 00:00:00
172,オセアニア計,4,14949.0,2003,2003-04-01 00:00:00
173,豪州,4,11959.0,2003,2003-04-01 00:00:00
175,無国籍・その他,4,89.0,2003,2003-04-01 00:00:00
154,スウェーデン,4,1629.0,2003,2003-04-01 00:00:00
166,北アメリカ計,4,55193.0,2003,2003-04-01 00:00:00
153,スペイン,4,1133.0,2003,2003-04-01 00:00:00
163,ポルトガル,4,357.0,2003,2003-04-01 00:00:00
151,イタリア,4,2403.0,2003,2003-04-01 00:00:00
133,アジア計,4,228518.0,2003,2003-04-01 00:00:00
134,韓国,4,87477.0,2003,2003-04-01 00:00:00
135,中国,4,42706.0,2003,2003-04-01 00:00:00
136,台湾,4,46418.0,2003,2003-04-01 00:00:00
137,香港,4,10703.0,2003,2003-04-01 00:00:00
138,タイ,4,7836.0,2003,2003-04-01 00:00:00
139,シンガポール,4,3259.0,2003,2003-04-01 00:00:00
140,マレーシア,4,4743.0,2003,2003-04-01 00:00:00
141,インドネシア,4,3936.0,2003,2003-04-01 00:00:00
132,総数,4,354054.0,2003,2003-04-01 00:00:00
152,ロシア,4,3298.0,2003,2003-04-01 00:00:00
143,ベトナム,4,1483.0,2003,2003-04-01 00:00:00
144,インド,4,2884.0,2003,2003-04-01 00:00:00
145,イスラエル,4,743.0,2003,2003-04-01 00:00:00
146,トルコ,4,407.0,2003,2003-04-01 00:00:00
147,ヨーロッパ計,4,52526.0,2003,2003-04-01 00:00:00
148,英国,4,17783.0,2003,2003-04-01 00:00:00
149,フランス,4,6829.0,2003,2003-04-01 00:00:00
150,ドイツ,4,7710.0,2003,2003-04-01 00:00:00
142,フィリピン,4,12196.0,2003,2003-04-01 00:00:00
206,オーストリア,5,729.0,2003,2003-05-01 00:00:00
205,ノルウェー,5,654.0,2003,2003-05-01 00:00:00
204,デンマーク,5,846.0,2003,2003-05-01 00:00:00
199,オランダ,5,1980.0,2003,2003-05-01 00:00:00
202,フィンランド,5,785.0,2003,2003-05-01 00:00:00
201,ベルギー,5,782.0,2003,2003-05-01 00:00:00
200,スイス,5,1222.0,2003,2003-05-01 00:00:00
207,ポルトガル,5,252.0,2003,2003-05-01 00:00:00
203,ポーランド,5,483.0,2003,2003-05-01 00:00:00
208,アイルランド,5,722.0,2003,2003-05-01 00:00:00
219,無国籍・その他,5,65.0,2003,2003-05-01 00:00:00
210,北アメリカ計,5,54635.0,2003,2003-05-01 00:00:00
211,米国,5,46380.0,2003,2003-05-01 00:00:00
212,カナダ,5,7499.0,2003,2003-05-01 00:00:00
214,南アメリカ計,5,1634.0,2003,2003-05-01 00:00:00
215,ブラジル,5,644.0,2003,2003-05-01 00:00:00
216,オセアニア計,5,15185.0,2003,2003-05-01 00:00:00
217,豪州,5,12420.0,2003,2003-05-01 00:00:00
198,スウェーデン,5,1356.0,2003,2003-05-01 00:00:00
218,ニュージーランド,5,2462.0,2003,2003-05-01 00:00:00
209,アフリカ計,5,1403.0,2003,2003-05-01 00:00:00
213,メキシコ,5,442.0,2003,2003-05-01 00:00:00
196,ロシア,5,3675.0,2003,2003-05-01 00:00:00
195,イタリア,5,2202.0,2003,2003-05-01 00:00:00
197,スペイン,5,944.0,2003,2003-05-01 00:00:00
176,総数,5,288562.0,2003,2003-05-01 00:00:00
177,アジア計,5,169194.0,2003,2003-05-01 00:00:00
178,韓国,5,92072.0,2003,2003-05-01 00:00:00
179,中国,5,11280.0,2003,2003-05-01 00:00:00
180,台湾,5,16983.0,2003,2003-05-01 00:00:00
182,タイ,5,5342.0,2003,2003-05-01 00:00:00
183,シンガポール,5,2845.0,2003,2003-05-01 00:00:00
184,マレーシア,5,3685.0,2003,2003-05-01 00:00:00
181,香港,5,11195.0,2003,2003-05-01 00:00:00
186,フィリピン,5,10988.0,2003,2003-05-01 00:00:00
185,インドネシア,5,4989.0,2003,2003-05-01 00:00:00
193,フランス,5,5762.0,2003,2003-05-01 00:00:00
192,英国,5,14198.0,2003,2003-05-01 00:00:00
191,ヨーロッパ計,5,46446.0,2003,2003-05-01 00:00:00
194,ドイツ,5,7005.0,2003,2003-05-01 00:00:00
189,イスラエル,5,697.0,2003,2003-05-01 00:00:00
188,インド,5,4164.0,2003,2003-05-01 00:00:00
187,ベトナム,5,928.0,2003,2003-05-01 00:00:00
190,トルコ,5,470.0,2003,2003-05-01 00:00:00
250,オーストリア,6,695.0,2003,2003-06-01 00:00:00
243,オランダ,6,1803.0,2003,2003-06-01 00:00:00
244,スイス,6,1106.0,2003,2003-06-01 00:00:00
245,ベルギー,6,787.0,2003,2003-06-01 00:00:00
246,フィンランド,6,698.0,2003,2003-06-01 00:00:00
247,ポーランド,6,341.0,2003,2003-06-01 00:00:00
248,デンマーク,6,718.0,2003,2003-06-01 00:00:00
249,ノルウェー,6,614.0,2003,2003-06-01 00:00:00
251,ポルトガル,6,1149.0,2003,2003-06-01 00:00:00
261,豪州,6,14467.0,2003,2003-06-01 00:00:00
253,アフリカ計,6,1435.0,2003,2003-06-01 00:00:00
254,北アメリカ計,6,69356.0,2003,2003-06-01 00:00:00
255,米国,6,59716.0,2003,2003-06-01 00:00:00
256,カナダ,6,8632.0,2003,2003-06-01 00:00:00
257,メキシコ,6,714.0,2003,2003-06-01 00:00:00
258,南アメリカ計,6,1863.0,2003,2003-06-01 00:00:00
259,ブラジル,6,896.0,2003,2003-06-01 00:00:00
260,オセアニア計,6,17216.0,2003,2003-06-01 00:00:00
242,スウェーデン,6,1341.0,2003,2003-06-01 00:00:00
252,アイルランド,6,771.0,2003,2003-06-01 00:00:00
241,スペイン,6,881.0,2003,2003-06-01 00:00:00
240,ロシア,6,3804.0,2003,2003-06-01 00:00:00
238,ドイツ,6,5956.0,2003,2003-06-01 00:00:00
262,ニュージーランド,6,2301.0,2003,2003-06-01 00:00:00
220,総数,6,352431.0,2003,2003-06-01 00:00:00
221,アジア計,6,217210.0,2003,2003-06-01 00:00:00
222,韓国,6,109379.0,2003,2003-06-01 00:00:00
223,中国,6,12915.0,2003,2003-06-01 00:00:00
224,台湾,6,28174.0,2003,2003-06-01 00:00:00
225,香港,6,22778.0,2003,2003-06-01 00:00:00
226,タイ,6,4877.0,2003,2003-06-01 00:00:00
227,シンガポール,6,6897.0,2003,2003-06-01 00:00:00
228,マレーシア,6,4069.0,2003,2003-06-01 00:00:00
229,インドネシア,6,7080.0,2003,2003-06-01 00:00:00
230,フィリピン,6,10103.0,2003,2003-06-01 00:00:00
231,ベトナム,6,1207.0,2003,2003-06-01 00:00:00
232,インド,6,4282.0,2003,2003-06-01 00:00:00
233,イスラエル,6,873.0,2003,2003-06-01 00:00:00
234,トルコ,6,572.0,2003,2003-06-01 00:00:00
235,ヨーロッパ計,6,45227.0,2003,2003-06-01 00:00:00
236,英国,6,13361.0,2003,2003-06-01 00:00:00
237,フランス,6,5775.0,2003,2003-06-01 00:00:00
239,イタリア,6,2500.0,2003,2003-06-01 00:00:00
263,無国籍・その他,6,124.0,2003,2003-06-01 00:00:00
284,ロシア,7,4895.0,2003,2003-07-01 00:00:00
265,アジア計,7,358539.0,2003,2003-07-01 00:00:00
289,ベルギー,7,997.0,2003,2003-07-01 00:00:00
290,フィンランド,7,720.0,2003,2003-07-01 00:00:00
291,ポーランド,7,503.0,2003,2003-07-01 00:00:00
292,デンマーク,7,831.0,2003,2003-07-01 00:00:00
293,ノルウェー,7,557.0,2003,2003-07-01 00:00:00
294,オーストリア,7,855.0,2003,2003-07-01 00:00:00
295,ポルトガル,7,1199.0,2003,2003-07-01 00:00:00
296,アイルランド,7,942.0,2003,2003-07-01 00:00:00
297,アフリカ計,7,1580.0,2003,2003-07-01 00:00:00
298,北アメリカ計,7,74846.0,2003,2003-07-01 00:00:00
299,米国,7,61258.0,2003,2003-07-01 00:00:00
300,カナダ,7,11919.0,2003,2003-07-01 00:00:00
301,メキシコ,7,1175.0,2003,2003-07-01 00:00:00
302,南アメリカ計,7,2128.0,2003,2003-07-01 00:00:00
303,ブラジル,7,1017.0,2003,2003-07-01 00:00:00
304,オセアニア計,7,21054.0,2003,2003-07-01 00:00:00
305,豪州,7,18013.0,2003,2003-07-01 00:00:00
306,ニュージーランド,7,2741.0,2003,2003-07-01 00:00:00
307,無国籍・その他,7,142.0,2003,2003-07-01 00:00:00
288,スイス,7,1603.0,2003,2003-07-01 00:00:00
287,オランダ,7,2273.0,2003,2003-07-01 00:00:00
264,総数,7,515692.0,2003,2003-07-01 00:00:00
286,スウェーデン,7,1080.0,2003,2003-07-01 00:00:00
266,韓国,7,161273.0,2003,2003-07-01 00:00:00
267,中国,7,28767.0,2003,2003-07-01 00:00:00
268,台湾,7,89972.0,2003,2003-07-01 00:00:00
269,香港,7,31414.0,2003,2003-07-01 00:00:00
270,タイ,7,5767.0,2003,2003-07-01 00:00:00
271,シンガポール,7,5433.0,2003,2003-07-01 00:00:00
273,インドネシア,7,6617.0,2003,2003-07-01 00:00:00
274,フィリピン,7,13070.0,2003,2003-07-01 00:00:00
275,ベトナム,7,1565.0,2003,2003-07-01 00:00:00
272,マレーシア,7,4631.0,2003,2003-07-01 00:00:00
277,イスラエル,7,857.0,2003,2003-07-01 00:00:00
276,インド,7,4159.0,2003,2003-07-01 00:00:00
283,イタリア,7,2719.0,2003,2003-07-01 00:00:00
282,ドイツ,7,7366.0,2003,2003-07-01 00:00:00
281,フランス,7,7384.0,2003,2003-07-01 00:00:00
285,スペイン,7,1241.0,2003,2003-07-01 00:00:00
279,ヨーロッパ計,7,57403.0,2003,2003-07-01 00:00:00
278,トルコ,7,487.0,2003,2003-07-01 00:00:00
280,英国,7,18779.0,2003,2003-07-01 00:00:00
339,ポルトガル,8,1998.0,2003,2003-08-01 00:00:00
331,オランダ,8,2093.0,2003,2003-08-01 00:00:00
332,スイス,8,1209.0,2003,2003-08-01 00:00:00
333,ベルギー,8,800.0,2003,2003-08-01 00:00:00
334,フィンランド,8,794.0,2003,2003-08-01 00:00:00
335,ポーランド,8,383.0,2003,2003-08-01 00:00:00
336,デンマーク,8,738.0,2003,2003-08-01 00:00:00
337,ノルウェー,8,505.0,2003,2003-08-01 00:00:00
338,オーストリア,8,706.0,2003,2003-08-01 00:00:00
340,アイルランド,8,871.0,2003,2003-08-01 00:00:00
329,スペイン,8,1667.0,2003,2003-08-01 00:00:00
342,北アメリカ計,8,69798.0,2003,2003-08-01 00:00:00
343,米国,8,55789.0,2003,2003-08-01 00:00:00
344,カナダ,8,12661.0,2003,2003-08-01 00:00:00
345,メキシコ,8,910.0,2003,2003-08-01 00:00:00
346,南アメリカ計,8,1961.0,2003,2003-08-01 00:00:00
347,ブラジル,8,975.0,2003,2003-08-01 00:00:00
348,オセアニア計,8,17964.0,2003,2003-08-01 00:00:00
349,豪州,8,14944.0,2003,2003-08-01 00:00:00
330,スウェーデン,8,1089.0,2003,2003-08-01 00:00:00
351,無国籍・その他,8,154.0,2003,2003-08-01 00:00:00
341,アフリカ計,8,1580.0,2003,2003-08-01 00:00:00
350,ニュージーランド,8,2739.0,2003,2003-08-01 00:00:00
318,フィリピン,8,11878.0,2003,2003-08-01 00:00:00
327,イタリア,8,3137.0,2003,2003-08-01 00:00:00
328,ロシア,8,3595.0,2003,2003-08-01 00:00:00
308,総数,8,550380.0,2003,2003-08-01 00:00:00
309,アジア計,8,403434.0,2003,2003-08-01 00:00:00
310,韓国,8,184536.0,2003,2003-08-01 00:00:00
311,中国,8,46765.0,2003,2003-08-01 00:00:00
312,台湾,8,94087.0,2003,2003-08-01 00:00:00
314,タイ,8,5822.0,2003,2003-08-01 00:00:00
315,シンガポール,8,4752.0,2003,2003-08-01 00:00:00
316,マレーシア,8,4883.0,2003,2003-08-01 00:00:00
313,香港,8,33447.0,2003,2003-08-01 00:00:00
326,ドイツ,8,7002.0,2003,2003-08-01 00:00:00
319,ベトナム,8,1544.0,2003,2003-08-01 00:00:00
320,インド,8,4603.0,2003,2003-08-01 00:00:00
321,イスラエル,8,785.0,2003,2003-08-01 00:00:00
322,トルコ,8,490.0,2003,2003-08-01 00:00:00
323,ヨーロッパ計,8,55489.0,2003,2003-08-01 00:00:00
324,英国,8,18932.0,2003,2003-08-01 00:00:00
325,フランス,8,7055.0,2003,2003-08-01 00:00:00
317,インドネシア,8,4812.0,2003,2003-08-01 00:00:00
382,オーストリア,9,848.0,2003,2003-09-01 00:00:00
381,ノルウェー,9,671.0,2003,2003-09-01 00:00:00
380,デンマーク,9,964.0,2003,2003-09-01 00:00:00
379,ポーランド,9,609.0,2003,2003-09-01 00:00:00
375,オランダ,9,2299.0,2003,2003-09-01 00:00:00
377,ベルギー,9,1027.0,2003,2003-09-01 00:00:00
376,スイス,9,1626.0,2003,2003-09-01 00:00:00
383,ポルトガル,9,633.0,2003,2003-09-01 00:00:00
378,フィンランド,9,1108.0,2003,2003-09-01 00:00:00
384,アイルランド,9,884.0,2003,2003-09-01 00:00:00
395,無国籍・その他,9,142.0,2003,2003-09-01 00:00:00
386,北アメリカ計,9,65303.0,2003,2003-09-01 00:00:00
387,米国,9,53957.0,2003,2003-09-01 00:00:00
388,カナダ,9,9797.0,2003,2003-09-01 00:00:00
389,メキシコ,9,1103.0,2003,2003-09-01 00:00:00
390,南アメリカ計,9,2200.0,2003,2003-09-01 00:00:00
391,ブラジル,9,1022.0,2003,2003-09-01 00:00:00
392,オセアニア計,9,21843.0,2003,2003-09-01 00:00:00
393,豪州,9,18008.0,2003,2003-09-01 00:00:00
374,スウェーデン,9,1530.0,2003,2003-09-01 00:00:00
385,アフリカ計,9,2801.0,2003,2003-09-01 00:00:00
394,ニュージーランド,9,3532.0,2003,2003-09-01 00:00:00
373,スペイン,9,1570.0,2003,2003-09-01 00:00:00
371,イタリア,9,3019.0,2003,2003-09-01 00:00:00
352,総数,9,457574.0,2003,2003-09-01 00:00:00
353,アジア計,9,309704.0,2003,2003-09-01 00:00:00
354,韓国,9,108468.0,2003,2003-09-01 00:00:00
355,中国,9,47303.0,2003,2003-09-01 00:00:00
356,台湾,9,81083.0,2003,2003-09-01 00:00:00
358,タイ,9,7115.0,2003,2003-09-01 00:00:00
359,シンガポール,9,7396.0,2003,2003-09-01 00:00:00
360,マレーシア,9,6636.0,2003,2003-09-01 00:00:00
361,インドネシア,9,5378.0,2003,2003-09-01 00:00:00
357,香港,9,21047.0,2003,2003-09-01 00:00:00
363,ベトナム,9,1956.0,2003,2003-09-01 00:00:00
362,フィリピン,9,12074.0,2003,2003-09-01 00:00:00
370,ドイツ,9,8312.0,2003,2003-09-01 00:00:00
369,フランス,9,7133.0,2003,2003-09-01 00:00:00
368,英国,9,15299.0,2003,2003-09-01 00:00:00
372,ロシア,9,3929.0,2003,2003-09-01 00:00:00
366,トルコ,9,894.0,2003,2003-09-01 00:00:00
365,イスラエル,9,976.0,2003,2003-09-01 00:00:00
364,インド,9,4041.0,2003,2003-09-01 00:00:00
367,ヨーロッパ計,9,55581.0,2003,2003-09-01 00:00:00
426,オーストリア,10,1194.0,2003,2003-10-01 00:00:00
419,オランダ,10,2979.0,2003,2003-10-01 00:00:00
420,スイス,10,2167.0,2003,2003-10-01 00:00:00
421,ベルギー,10,1310.0,2003,2003-10-01 00:00:00
422,フィンランド,10,1326.0,2003,2003-10-01 00:00:00
423,ポーランド,10,767.0,2003,2003-10-01 00:00:00
424,デンマーク,10,1261.0,2003,2003-10-01 00:00:00
425,ノルウェー,10,818.0,2003,2003-10-01 00:00:00
418,スウェーデン,10,2387.0,2003,2003-10-01 00:00:00
437,豪州,10,14266.0,2003,2003-10-01 00:00:00
429,アフリカ計,10,1716.0,2003,2003-10-01 00:00:00
430,北アメリカ計,10,80223.0,2003,2003-10-01 00:00:00
431,米国,10,66512.0,2003,2003-10-01 00:00:00
432,カナダ,10,11528.0,2003,2003-10-01 00:00:00
433,メキシコ,10,1493.0,2003,2003-10-01 00:00:00
434,南アメリカ計,10,3015.0,2003,2003-10-01 00:00:00
435,ブラジル,10,1432.0,2003,2003-10-01 00:00:00
436,オセアニア計,10,17245.0,2003,2003-10-01 00:00:00
417,スペイン,10,1979.0,2003,2003-10-01 00:00:00
427,ポルトガル,10,698.0,2003,2003-10-01 00:00:00
416,ロシア,10,4678.0,2003,2003-10-01 00:00:00
428,アイルランド,10,1075.0,2003,2003-10-01 00:00:00
414,ドイツ,10,11663.0,2003,2003-10-01 00:00:00
415,イタリア,10,4420.0,2003,2003-10-01 00:00:00
439,無国籍・その他,10,143.0,2003,2003-10-01 00:00:00
396,総数,10,527859.0,2003,2003-10-01 00:00:00
397,アジア計,10,354353.0,2003,2003-10-01 00:00:00
398,韓国,10,127367.0,2003,2003-10-01 00:00:00
399,中国,10,51007.0,2003,2003-10-01 00:00:00
400,台湾,10,97833.0,2003,2003-10-01 00:00:00
401,香港,10,18525.0,2003,2003-10-01 00:00:00
402,タイ,10,12642.0,2003,2003-10-01 00:00:00
403,シンガポール,10,8036.0,2003,2003-10-01 00:00:00
438,ニュージーランド,10,2692.0,2003,2003-10-01 00:00:00
405,インドネシア,10,5546.0,2003,2003-10-01 00:00:00
413,フランス,10,8964.0,2003,2003-10-01 00:00:00
404,マレーシア,10,7217.0,2003,2003-10-01 00:00:00
411,ヨーロッパ計,10,71164.0,2003,2003-10-01 00:00:00
410,トルコ,10,673.0,2003,2003-10-01 00:00:00
412,英国,10,19289.0,2003,2003-10-01 00:00:00
408,インド,10,4221.0,2003,2003-10-01 00:00:00
407,ベトナム,10,1757.0,2003,2003-10-01 00:00:00
406,フィリピン,10,12840.0,2003,2003-10-01 00:00:00
409,イスラエル,10,1186.0,2003,2003-10-01 00:00:00
465,ベルギー,11,1062.0,2003,2003-11-01 00:00:00
471,ポルトガル,11,580.0,2003,2003-11-01 00:00:00
466,フィンランド,11,966.0,2003,2003-11-01 00:00:00
467,ポーランド,11,538.0,2003,2003-11-01 00:00:00
468,デンマーク,11,1043.0,2003,2003-11-01 00:00:00
469,ノルウェー,11,638.0,2003,2003-11-01 00:00:00
470,オーストリア,11,972.0,2003,2003-11-01 00:00:00
472,アイルランド,11,1071.0,2003,2003-11-01 00:00:00
476,カナダ,11,10368.0,2003,2003-11-01 00:00:00
474,北アメリカ計,11,68569.0,2003,2003-11-01 00:00:00
475,米国,11,56670.0,2003,2003-11-01 00:00:00
464,スイス,11,1441.0,2003,2003-11-01 00:00:00
477,メキシコ,11,1107.0,2003,2003-11-01 00:00:00
478,南アメリカ計,11,2050.0,2003,2003-11-01 00:00:00
479,ブラジル,11,915.0,2003,2003-11-01 00:00:00
480,オセアニア計,11,14490.0,2003,2003-11-01 00:00:00
481,豪州,11,12120.0,2003,2003-11-01 00:00:00
482,ニュージーランド,11,2173.0,2003,2003-11-01 00:00:00
483,無国籍・その他,11,83.0,2003,2003-11-01 00:00:00
473,アフリカ計,11,1505.0,2003,2003-11-01 00:00:00
463,オランダ,11,2300.0,2003,2003-11-01 00:00:00
